current_account_nbr,8,9,10,1,2,3,4,5,6,7,ca_avg_utilz_lst_6_mnths,ca_avg_utilz_lst_3_mnths,ca_current_utilz
00oyr3QppAzjLws4,26.74,30.03,0.0,89.03,85.59,150.04,0.0,0.0,0.0,188.04999999999998,90,90,87
02WRVV8yusgcZWLW,0.0,499.28,5697.860000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,21,39
033o9yHYen3xoz6k,3275.3,1817.53,2181.16,1410.31,1357.5700000000002,1758.56,1724.38,2013.77,3017.06,1925.55,15,14,16
034bM166vNmgLiIA,30.0,126.24,30.0,0.0,0.0,1041.28,30.0,488.01,570.12,119.27,69,71,70
03cqv0gFjEIiQG0x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,45,44
03ne5pYq1NqrJlEc,0.0,0.0,929.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
049sX01uVFhaa0i2,1970.61,2651.4,2612.57,1514.03,2132.14,2778.67,2945.62,1924.28,3116.6800000000003,795.17,44,42,43
04RFIeRTRKVvYY4G,0.0,0.0,360.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,144,13
06SijOFpCXUvw9hs,5294.59,2786.09,2330.88,1792.25,1168.33,1836.27,1983.0100000000002,1750.41,3389.57,1776.27,11,12,10
07Clq12JW12ktIyi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.25,123.04,4,0,0
07XlBiCfnQtNCNsP,183.49,24.95,34.0,0.0,0.0,0.0,0.0,0.0,0.0,681.51,6,3,1
08I8UH07m7ypjBcH,5415.96,1864.85,1945.0,1803.1599999999999,1362.63,617.51,276.84000000000003,1302.04,1618.8600000000001,1971.7800000000002,12,12,13
08WIx7QeGCxx3Qo7,579.0,432.0,579.0,0.0,0.0,647.0,147.0,285.0,432.0,0.0,39,51,61
08WtgQ3EbeGILWWF,0.0,0.0,0.0,6991.83,0.0,0.0,0.0,0.0,0.0,0.0,38,34,32
08yAVs3VkBqof9IF,88.91,63.39,0.0,0.0,0.0,1747.3700000000001,337.71999999999997,200.70999999999998,0.0,280.63,96,102,99
09UcrKF6OnDU0uGB,0.0,568.6,3164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,13,36
09YWzSryUIWugmuQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,55,55
09hLyXrOaQ1RvunN,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,51,24,0
09qxxPHHPpExgfbJ,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0
09u8FhMHTWxAfe6l,1783.26,1560.5900000000001,1301.58,0.0,0.0,0.0,0.0,52.99,1594.3899999999999,1240.81,10,9,9
09urNCmkAfBit8ED,546.1700000000001,648.74,15148.25,1097.03,1003.27,1725.3,479.37,908.61,1857.72,435.9,12,21,61
0AhQ7kZQaxhVg5d0,702.2,0.0,1071.36,270.27,669.77,383.03,253.2,308.36,617.25,398.51,94,97,102
0AiVD1BQVqQu9vDO,0.0,0.0,0.0,0.0,546.4,0.0,0.0,0.0,0.0,0.0,0,0,0
